trade_date,ts_code,open,high,low,average,close,PRECO_MELHOR_OFERTA_DE_COMPRA,PRECO_MELHOR_OFERTA_DE_VENDAS,number of trades,volume,amount
20071026,BOVH3,32.0,35.33,29.01,31.84,34.99,34.9,34.99,54460.0,159159600.0,506923368000.0
20071029,BOVH3,34.6,34.6,32.0,32.64,32.0,32.0,32.02,14545.0,23947100.0,78152663100.0
20071030,BOVH3,32.0,32.25,31.01,31.51,31.15,31.15,31.16,5890.0,11895200.0,37488664400.0
20071031,BOVH3,31.52,33.0,31.49,32.47,32.5,32.5,32.6,6033.0,8246600.0,26777451200.0
20071101,BOVH3,32.6,32.98,31.62,32.43,32.94,32.63,32.94,3500.0,7338400.0,23799445500.0
20071105,BOVH3,32.2,32.91,31.8,32.09,31.8,31.79,31.8,3688.0,6257800.0,20084618300.0
20071106,BOVH3,32.6,33.0,32.0,32.43,33.0,32.99,33.0,2485.0,3870100.0,12552182800.0
20071107,BOVH3,32.51,34.47,32.3,33.14,34.0,33.92,34.0,4116.0,5610300.0,18597459500.0
20071108,BOVH3,34.0,34.95,32.87,33.85,34.0,34.0,34.01,4648.0,6257600.0,21182706300.0
20071109,BOVH3,34.1,37.8,34.1,35.9,37.0,36.65,37.0,8277.0,25399800.0,91197732000.0
20071112,BOVH3,36.1,37.2,35.89,36.34,36.65,36.65,36.7,5085.0,5792200.0,21054953800.0
20071113,BOVH3,36.67,37.05,35.4,36.41,35.8,35.8,35.99,1676.0,2606900.0,9493138100.0
20071114,BOVH3,36.75,37.37,36.33,36.85,36.4,36.4,36.5,2714.0,1836000.0,6767402300.0
20071116,BOVH3,36.48,36.8,34.91,35.58,35.25,35.25,35.29,2783.0,3052200.0,10861908900.0
20071119,BOVH3,35.39,35.39,33.03,33.86,33.4,33.4,33.41,2867.0,3042200.0,10301127000.0
20071121,BOVH3,32.93,32.93,31.05,31.75,31.99,31.9,31.99,4516.0,6007300.0,19077362100.0
20071122,BOVH3,32.0,33.5,31.85,32.67,32.45,32.45,32.5,2009.0,1251000.0,4086991100.0
20071123,BOVH3,32.75,32.9,31.9,32.56,31.9,31.9,32.0,1938.0,1187800.0,3867720700.0
20071126,BOVH3,32.2,32.65,31.1,32.16,31.5,31.5,31.6,2116.0,1548400.0,4976566700.0
20071127,BOVH3,31.2,31.31,30.0,30.74,30.0,30.0,30.1,3865.0,4621300.0,14206828900.0
20071128,BOVH3,30.8,32.3,30.52,31.47,32.3,32.25,32.3,3617.0,4241500.0,13351218000.0
20071129,BOVH3,32.35,34.59,32.35,33.75,34.58,34.57,34.58,5308.0,6917000.0,23350000600.0
20071130,BOVH3,35.85,36.0,33.0,34.75,33.9,33.86,33.9,4757.0,6335200.0,22012199800.0
20071203,BOVH3,33.95,33.95,32.5,33.13,32.5,32.5,32.7,2023.0,2510300.0,8318354400.0
20071204,BOVH3,32.0,33.3,31.81,32.15,32.6,32.4,32.6,1248.0,2460800.0,7912931800.0
20071205,BOVH3,33.01,34.9,33.01,34.39,34.5,34.5,34.51,3235.0,4207100.0,14469070100.0
20071206,BOVH3,34.51,35.2,34.4,34.93,35.2,35.2,35.23,2907.0,3782100.0,13212938800.0
20071207,BOVH3,35.22,35.65,34.71,35.31,35.5,35.4,35.5,1512.0,1631400.0,5761763900.0
20071210,BOVH3,35.3,36.0,35.25,35.72,35.85,35.8,35.85,1351.0,1348800.0,4819252800.0
20071211,BOVH3,36.0,36.47,35.52,36.08,35.6,35.6,35.7,2614.0,2358100.0,8503520700.0
20071212,BOVH3,35.46,36.06,35.4,35.85,35.9,35.9,35.95,1013.0,1805800.0,6475010500.0
20071213,BOVH3,35.5,35.99,33.8,35.25,35.95,35.81,35.95,1516.0,2228200.0,7856567100.0
20071214,BOVH3,35.6,36.14,35.3,35.83,35.55,35.5,35.55,1070.0,1973600.0,7072959800.0
20071217,BOVH3,34.7,35.31,33.5,34.07,33.5,33.5,33.67,1408.0,1796900.0,6121681600.0
20071218,BOVH3,34.0,34.58,33.0,33.83,33.0,33.0,33.4,1356.0,2459900.0,8322539000.0
20071219,BOVH3,33.3,33.74,32.5,33.19,33.25,33.16,33.25,2161.0,2802500.0,9304033000.0
20071220,BOVH3,33.06,33.39,32.79,33.04,33.0,32.95,33.0,1039.0,1719100.0,5681738800.0
20071221,BOVH3,33.5,34.3,33.25,33.67,34.3,34.2,34.3,922.0,1676700.0,5645708700.0
20071226,BOVH3,34.4,35.15,33.0,34.76,34.2,34.2,34.6,727.0,1800700.0,6260025500.0
20071227,BOVH3,34.16,34.5,33.56,33.99,33.75,33.75,33.83,626.0,1368300.0,4651227400.0
20071228,BOVH3,33.79,34.3,32.98,33.43,34.3,33.34,34.3,981.0,1549000.0,5178545100.0
20080102,BOVH3,33.9,35.35,33.35,34.7,33.35,33.35,33.4,1473.0,2541500.0,8818877400.0
20080103,BOVH3,33.49,33.69,32.81,33.13,33.0,33.0,33.15,1548.0,1067400.0,3537282700.0
20080104,BOVH3,33.0,33.0,30.0,30.75,30.3,30.3,30.35,6899.0,6891400.0,21194923200.0
20080107,BOVH3,30.89,30.89,28.15,29.23,28.73,28.73,29.0,4896.0,8375200.0,24483951700.0
20080108,BOVH3,29.5,30.47,28.91,29.81,29.95,29.92,29.95,1874.0,2844200.0,8480518800.0
20080109,BOVH3,29.2,29.97,28.75,29.45,29.4,29.35,29.4,1438.0,2602400.0,7665799900.0
20080110,BOVH3,29.8,29.9,28.0,28.85,28.0,28.0,28.15,1910.0,2719900.0,7845791200.0
20080111,BOVH3,27.89,29.29,27.7,28.62,28.45,28.35,28.45,2062.0,5043500.0,14434520900.0
20080114,BOVH3,28.51,28.95,26.2,27.68,27.0,27.0,27.04,1990.0,3701800.0,10245945800.0
20080115,BOVH3,26.7,27.15,24.21,25.17,24.51,24.51,24.57,6191.0,8015200.0,20175711700.0
20080116,BOVH3,23.8,25.3,21.23,23.45,25.01,25.01,25.1,7075.0,11826300.0,27737224400.0
20080117,BOVH3,25.11,25.94,23.16,24.65,25.89,25.5,25.89,4776.0,8439300.0,20814331700.0
20080118,BOVH3,25.99,27.15,24.82,25.88,24.9,24.85,24.9,4371.0,7439200.0,19254767000.0
20080121,BOVH3,22.66,23.4,21.83,22.93,23.35,23.05,23.35,3729.0,4229400.0,9700432600.0
20080122,BOVH3,22.82,24.5,22.5,23.75,23.6,23.55,23.6,4835.0,8145000.0,19351653500.0
20080123,BOVH3,22.9,23.0,21.35,22.18,21.8,21.8,21.85,2958.0,6355900.0,14099864700.0
20080124,BOVH3,23.5,25.99,22.71,24.35,24.65,24.6,24.65,6445.0,8678200.0,21137443500.0
20080128,BOVH3,24.0,25.95,23.87,25.12,25.6,25.57,25.6,3502.0,3611000.0,9073454400.0
20080129,BOVH3,26.45,27.49,25.94,26.85,26.0,25.96,26.0,3851.0,2730400.0,7329853000.0
20080130,BOVH3,25.98,26.45,24.61,25.85,26.4,26.4,26.45,3135.0,4703700.0,12162746100.0
20080131,BOVH3,26.0,26.24,24.94,25.73,25.7,25.6,25.7,3735.0,4049100.0,10420680000.0
20080201,BOVH3,26.3,27.75,25.7,27.16,27.25,27.1,27.25,3498.0,4428700.0,12029834900.0
