trade_date,ts_code,open,high,low,average,close,PRECO_MELHOR_OFERTA_DE_COMPRA,PRECO_MELHOR_OFERTA_DE_VENDAS,number of trades,volume,amount,MACD_Line,MACD_Signal,MACD_Hist,RSI,EMA12,ATR,KC_Width,OBV,BB_Width,CCI
20071026,BOVH3,32.0,35.33,29.01,31.84,34.99,34.9,34.99,54460.0,159159600.0,506923368000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20071029,BOVH3,34.6,34.6,32.0,32.64,32.0,32.0,32.02,14545.0,23947100.0,78152663100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23947100.0,0.0,0.0
20071030,BOVH3,32.0,32.25,31.01,31.51,31.15,31.15,31.16,5890.0,11895200.0,37488664400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35842300.0,0.0,0.0
20071031,BOVH3,31.52,33.0,31.49,32.47,32.5,32.5,32.6,6033.0,8246600.0,26777451200.0,0.0,0.0,0.0,3.5309942831521135,0.0,0.0,0.0,-27595700.0,0.0,0.0
20071101,BOVH3,32.6,32.98,31.62,32.43,32.94,32.63,32.94,3500.0,7338400.0,23799445500.0,0.0,0.0,0.0,4.711964591418694,0.0,0.0,0.0,-20257300.0,0.0,0.0
20071105,BOVH3,32.2,32.91,31.8,32.09,31.8,31.79,31.8,3688.0,6257800.0,20084618300.0,0.0,0.0,0.0,4.556331013295355,0.0,0.0,0.0,-26515100.0,0.0,0.0
20071106,BOVH3,32.6,33.0,32.0,32.43,33.0,32.99,33.0,2485.0,3870100.0,12552182800.0,0.0,0.0,0.0,8.000984509538759,0.0,0.0,0.0,-22645000.0,0.0,0.0
20071107,BOVH3,32.51,34.47,32.3,33.14,34.0,33.92,34.0,4116.0,5610300.0,18597459500.0,0.0,0.0,0.0,10.887284908728313,0.0,0.0,0.0,-17034700.0,0.0,0.0
20071108,BOVH3,34.0,34.95,32.87,33.85,34.0,34.0,34.01,4648.0,6257600.0,21182706300.0,0.0,0.0,0.0,10.887284908728313,0.0,0.0,0.0,-17034700.0,0.0,0.0
20071109,BOVH3,34.1,37.8,34.1,35.9,37.0,36.65,37.0,8277.0,25399800.0,91197732000.0,0.0,0.0,0.0,19.65720993196747,0.0,0.0,0.0,8365100.0,0.0,0.0
20071112,BOVH3,36.1,37.2,35.89,36.34,36.65,36.65,36.7,5085.0,5792200.0,21054953800.0,0.0,0.0,0.0,19.417120795330217,0.0,0.0,0.0,2572900.0,0.0,0.0
20071113,BOVH3,36.67,37.05,35.4,36.41,35.8,35.8,35.99,1676.0,2606900.0,9493138100.0,0.0,0.0,0.0,18.816064712253734,33.81916666666667,0.0,0.0,-34000.0,0.0,0.0
20071114,BOVH3,36.75,37.37,36.33,36.85,36.4,36.4,36.5,2714.0,1836000.0,6767402300.0,0.0,0.0,0.0,20.6825136584424,34.21621794871795,0.0,0.0,1802000.0,0.0,0.0
20071116,BOVH3,36.48,36.8,34.91,35.58,35.25,35.25,35.29,2783.0,3052200.0,10861908900.0,0.0,0.0,0.0,19.74550102370163,34.37526134122288,2.1835714285714283,0.0,-1250200.0,0.0,-1365.1510952280837
20071119,BOVH3,35.39,35.39,33.03,33.86,33.4,33.4,33.41,2867.0,3042200.0,10301127000.0,0.0,0.0,0.0,18.30851108942179,34.2252211348809,2.196173469387755,0.0,-4292400.0,0.0,-1407.0198848713799
20071121,BOVH3,32.93,32.93,31.05,31.75,31.99,31.9,31.99,4516.0,6007300.0,19077362100.0,0.0,0.0,0.0,17.27652458456035,33.881340960283836,2.207161078717201,0.0,-10299700.0,0.0,-1366.619012034704
20071122,BOVH3,32.0,33.5,31.85,32.67,32.45,32.45,32.5,2009.0,1251000.0,4086991100.0,0.0,0.0,0.0,18.88293540008099,33.661134658701705,2.1673638588088293,0.0,-9048700.0,0.0,-1421.0496535712984
20071123,BOVH3,32.75,32.9,31.9,32.56,31.9,31.9,32.0,1938.0,1187800.0,3867720700.0,0.0,0.0,0.0,18.422295934956843,33.39019086505529,2.08398072603677,0.0,-10236500.0,0.0,-1416.5494828957815
20071126,BOVH3,32.2,32.65,31.1,32.16,31.5,31.5,31.6,2116.0,1548400.0,4976566700.0,0.0,0.0,0.0,18.07691533074067,33.099392270431395,2.0458392456055723,0.0,-11784900.0,0.0,-1379.6511502769815
20071127,BOVH3,31.2,31.31,30.0,30.74,30.0,30.0,30.1,3865.0,4621300.0,14206828900.0,0.0,0.0,0.0,16.804590302691313,32.62256269036502,2.006850728062317,8.195999999999998,-16406200.0,23.92660290332732,-1291.3723132283974
20071128,BOVH3,30.8,32.3,30.52,31.47,32.3,32.25,32.3,3617.0,4241500.0,13351218000.0,0.0,0.0,0.0,25.467087357702418,32.5729376610781,2.0277899617721515,8.291619047619047,-12164700.0,23.787190827661384,-1236.5492147671976
20071129,BOVH3,32.35,34.59,32.35,33.75,34.58,34.57,34.58,5308.0,6917000.0,23350000600.0,0.0,0.0,0.0,32.923127456424496,32.8817164824507,2.046519250216998,8.374321995464854,-5247700.0,23.632967787436996,-1247.9106023009826
20071130,BOVH3,35.85,36.0,33.0,34.75,33.9,33.86,33.9,4757.0,6335200.0,22012199800.0,0.0,0.0,0.0,31.898218428781437,33.038375485150596,2.1146250180586414,8.719624662563437,-11582900.0,22.669494025095965,-1230.0022222222217
20071203,BOVH3,33.95,33.95,32.5,33.13,32.5,32.5,32.7,2023.0,2510300.0,8318354400.0,0.0,0.0,0.0,29.838689986999366,32.955548487435124,2.0671518024830244,8.44156517089073,-14093200.0,22.669494025095965,-1308.5088070475376
20071204,BOVH3,32.0,33.3,31.81,32.15,32.6,32.4,32.6,1248.0,2460800.0,7912931800.0,0.0,0.0,0.0,30.185430095553894,32.90084872013741,2.025926673734237,8.205225630805899,-11632400.0,22.769345299604982,-1454.2146688204346
20071205,BOVH3,33.01,34.9,33.01,34.39,34.5,34.5,34.51,3235.0,4207100.0,14469070100.0,-0.2800510829606466,0.0,0.0,36.59686729136221,33.14687199396243,2.045503339896077,8.299966046919621,-7425300.0,22.26030953748864,-1622.5406919199654
20071206,BOVH3,34.51,35.2,34.4,34.93,35.2,35.2,35.23,2907.0,3782100.0,13212938800.0,-0.09552426721697316,0.0,0.0,38.82584847571113,33.46273784104513,1.9565388156177863,7.814254994832041,-3643200.0,22.448766679489044,-1815.139912105473
20071207,BOVH3,35.22,35.65,34.71,35.31,35.5,35.4,35.5,1512.0,1631400.0,5761763900.0,0.0740682438895135,0.0,0.0,39.80259384794433,33.77616278857665,1.8839289002165158,7.428135471514704,-2011800.0,22.84512697217601,-1860.9411107858616
20071210,BOVH3,35.3,36.0,35.25,35.72,35.85,35.8,35.85,1351.0,1348800.0,4819252800.0,0.2340160147690753,0.0,0.0,40.98644381657484,34.09521466725717,1.802933978772479,7.006408283751398,-663000.0,23.372663364176677,-1658.2856544920887
20071211,BOVH3,36.0,36.47,35.52,36.08,35.6,35.6,35.7,2614.0,2358100.0,8503520700.0,0.3367213507599658,0.0,0.0,40.37564940208113,34.32672010306376,1.7420101231458731,6.7010360662512625,-3021100.0,22.357643094296073,-1542.6334647792382
20071212,BOVH3,35.46,36.06,35.4,35.85,35.9,35.9,35.95,1013.0,1805800.0,6475010500.0,0.43728283792365374,0.0,0.0,41.50222437805193,34.56876316413087,1.664723685778311,6.314270726608285,-1215300.0,21.78350534087014,-1475.101672922579
20071213,BOVH3,35.5,35.99,33.8,35.25,35.95,35.81,35.95,1516.0,2228200.0,7856567100.0,0.5150756516510668,0.0,0.0,41.699939041652,34.78126113887997,1.702243422508432,6.547197324074162,1012900.0,21.880370865113317,-1532.8141339375634
20071214,BOVH3,35.6,36.14,35.3,35.83,35.55,35.5,35.55,1070.0,1973600.0,7072959800.0,0.5382457974300792,0.0,0.0,40.520042071820946,34.89952865597536,1.640654606614973,6.243654721781386,-960700.0,21.28996288307011,-1664.9426041772451
20071217,BOVH3,34.7,35.31,33.5,34.07,33.5,33.5,33.67,1408.0,1796900.0,6121681600.0,0.38673242677340625,0.2385074414465712,0.14822498532683503,35.0468988394416,34.684216555056075,1.6698935632853318,6.429973319706971,-2757600.0,20.979390392173286,-2131.754707996405
20071218,BOVH3,34.0,34.58,33.0,33.83,33.0,33.0,33.4,1356.0,2459900.0,8322539000.0,0.22373212296235323,0.23555237774972765,-0.011820254787374418,33.84608364061867,34.42510631581668,1.6634725944792366,6.419499670211067,-5217500.0,21.065613329429418,-2444.40472094214
