1 >expected=15.710000, predicted=15.989434
2 >expected=15.900000, predicted=15.958768
3 >expected=15.770000, predicted=15.956687
4 >expected=15.510000, predicted=15.502808
5 >expected=15.050000, predicted=15.524157
6 >expected=13.890000, predicted=14.384864
7 >expected=14.640000, predicted=13.940578
8 >expected=13.980000, predicted=14.240847
9 >expected=13.820000, predicted=13.722436
10 >expected=13.540000, predicted=13.682930
11 >expected=14.180000, predicted=13.604998
12 >expected=14.200000, predicted=14.169183
13 >expected=13.650000, predicted=14.001407
14 >expected=13.900000, predicted=14.113144
15 >expected=13.990000, predicted=13.812506
16 >expected=13.660000, predicted=13.816260
17 >expected=13.940000, predicted=13.937262
18 >expected=13.700000, predicted=13.650108
19 >expected=14.070000, predicted=13.857608
20 >expected=14.430000, predicted=14.317252
21 >expected=14.070000, predicted=14.121969
22 >expected=14.050000, predicted=13.952565
23 >expected=14.320000, predicted=14.206573
24 >expected=13.120000, predicted=13.658607
25 >expected=13.630000, predicted=13.669155
26 >expected=13.810000, predicted=13.960650
27 >expected=14.200000, predicted=14.254089
28 >expected=14.130000, predicted=14.283341
29 >expected=14.050000, predicted=13.939334
30 >expected=14.120000, predicted=13.888672
31 >expected=14.180000, predicted=14.108731
32 >expected=13.680000, predicted=13.649206
33 >expected=13.550000, predicted=13.650988
34 >expected=14.250000, predicted=14.083981
35 >expected=13.910000, predicted=13.983616
36 >expected=13.880000, predicted=13.652353
37 >expected=13.680000, predicted=13.576485
38 >expected=12.940000, predicted=13.403844
39 >expected=12.750000, predicted=12.787980
40 >expected=12.740000, predicted=12.695173
41 >expected=13.230000, predicted=13.063362
42 >expected=12.400000, predicted=12.742148
43 >expected=12.150000, predicted=12.332720
44 >expected=12.220000, predicted=11.966256
45 >expected=12.260000, predicted=12.336289
46 >expected=12.490000, predicted=12.587457
47 >expected=12.130000, predicted=12.187845
48 >expected=12.850000, predicted=12.433110
49 >expected=12.730000, predicted=12.757911
50 >expected=13.150000, predicted=12.899102
51 >expected=12.920000, predicted=13.051795
52 >expected=12.520000, predicted=12.743912
53 >expected=13.110000, predicted=13.151605
54 >expected=13.010000, predicted=12.861657
55 >expected=12.620000, predicted=12.535807
56 >expected=12.890000, predicted=12.889421
57 >expected=12.150000, predicted=12.361159
58 >expected=12.120000, predicted=12.331443
59 >expected=12.040000, predicted=12.023575
60 >expected=11.910000, predicted=12.034526
61 >expected=11.980000, predicted=12.022570
62 >expected=12.000000, predicted=11.895877
63 >expected=11.940000, predicted=11.863611
64 >expected=12.370000, predicted=12.284245
65 >expected=12.240000, predicted=12.401312
66 >expected=12.640000, predicted=12.534436
67 >expected=12.670000, predicted=12.571206
68 >expected=13.150000, predicted=13.140221
69 >expected=13.050000, predicted=13.147613
70 >expected=12.750000, predicted=13.045791
71 >expected=12.660000, predicted=12.717925
72 >expected=12.470000, predicted=12.494047
73 >expected=12.470000, predicted=12.414368
74 >expected=12.100000, predicted=12.228362
75 >expected=11.980000, predicted=11.991897
76 >expected=12.190000, predicted=11.939679
77 >expected=12.370000, predicted=12.354089
78 >expected=11.780000, predicted=11.882249
79 >expected=11.500000, predicted=11.492218
80 >expected=11.110000, predicted=11.136769
81 >expected=11.010000, predicted=11.181883
82 >expected=11.460000, predicted=11.253648
83 >expected=11.630000, predicted=11.780166
84 >expected=11.780000, predicted=11.872863
85 >expected=12.050000, predicted=12.057220
86 >expected=12.120000, predicted=12.139026
87 >expected=11.710000, predicted=11.876234
88 >expected=12.380000, predicted=12.214036
89 >expected=12.150000, predicted=12.366204
90 >expected=12.100000, predicted=12.016011
91 >expected=12.060000, predicted=12.067637
92 >expected=12.070000, predicted=12.174390
93 >expected=12.310000, predicted=12.077892
94 >expected=11.880000, predicted=11.906740
95 >expected=11.370000, predicted=11.538683
96 >expected=11.500000, predicted=11.602322
97 >expected=11.380000, predicted=11.265034
98 >expected=11.310000, predicted=11.326856
99 >expected=11.160000, predicted=11.167996
100 >expected=11.080000, predicted=11.101346
101 >expected=11.140000, predicted=11.181450
102 >expected=10.720000, predicted=10.805232
103 >expected=10.950000, predicted=10.790491
104 >expected=10.720000, predicted=10.762741
105 >expected=10.980000, predicted=10.823815
106 >expected=11.240000, predicted=11.165145
107 >expected=11.180000, predicted=11.109673
108 >expected=11.210000, predicted=11.097949
109 >expected=11.610000, predicted=11.506072
110 >expected=11.590000, predicted=11.614693
111 >expected=12.220000, predicted=12.031165
112 >expected=12.360000, predicted=12.433314
113 >expected=12.310000, predicted=12.053542
114 >expected=12.260000, predicted=12.397067
115 >expected=13.250000, predicted=12.880013
116 >expected=13.640000, predicted=13.710056
117 >expected=13.060000, predicted=13.333192
118 >expected=13.320000, predicted=13.200032
119 >expected=13.780000, predicted=13.792556
120 >expected=14.460000, predicted=14.273857
121 >expected=14.740000, predicted=14.432800
122 >expected=14.620000, predicted=14.563191
123 >expected=14.260000, predicted=14.447184
124 >expected=14.130000, predicted=14.370144
125 >expected=14.140000, predicted=14.256554
126 >expected=14.130000, predicted=14.020055
127 >expected=13.700000, predicted=13.811810
128 >expected=13.550000, predicted=13.572879
129 >expected=14.160000, predicted=13.875031
130 >expected=14.100000, predicted=14.078577
131 >expected=13.920000, predicted=14.044367
132 >expected=14.120000, predicted=14.193143
133 >expected=14.600000, predicted=14.603642
134 >expected=14.590000, predicted=14.533423
135 >expected=14.200000, predicted=14.399167
136 >expected=14.270000, predicted=14.373307
137 >expected=14.070000, predicted=14.205223
138 >expected=14.390000, predicted=14.409706
139 >expected=14.590000, predicted=14.565522
140 >expected=14.700000, predicted=14.290928
141 >expected=14.580000, predicted=14.639335
142 >expected=14.320000, predicted=14.563563
143 >expected=14.770000, predicted=14.422749
144 >expected=14.440000, predicted=14.396105
145 >expected=13.900000, predicted=14.097777
146 >expected=13.620000, predicted=13.764669
147 >expected=13.800000, predicted=13.933983
148 >expected=13.310000, predicted=13.449820
149 >expected=13.260000, predicted=13.511572
150 >expected=13.260000, predicted=13.226601
151 >expected=13.300000, predicted=13.471162
152 >expected=13.600000, predicted=13.703952
153 >expected=13.900000, predicted=13.656716
154 >expected=14.110000, predicted=13.198062
155 >expected=13.880000, predicted=14.089145
156 >expected=14.630000, predicted=14.382601
157 >expected=14.760000, predicted=14.825722
158 >expected=14.890000, predicted=14.749359
159 >expected=15.140000, predicted=14.785164
160 >expected=15.090000, predicted=14.834372
161 >expected=15.540000, predicted=15.417857
162 >expected=15.670000, predicted=15.662693
163 >expected=15.710000, predicted=15.666201
164 >expected=16.040000, predicted=15.925391
165 >expected=16.140000, predicted=15.962752
166 >expected=15.830000, predicted=16.045801
167 >expected=15.870000, predicted=15.699937
168 >expected=15.850000, predicted=15.863654
169 >expected=15.600000, predicted=15.705289
170 >expected=14.880000, predicted=14.993997
171 >expected=14.350000, predicted=14.710809
172 >expected=14.410000, predicted=14.345710
173 >expected=14.490000, predicted=14.375731
174 >expected=14.520000, predicted=14.433063
175 >expected=14.540000, predicted=14.398761
176 >expected=14.690000, predicted=14.544214
177 >expected=14.360000, predicted=14.534374
178 >expected=14.120000, predicted=14.202229
179 >expected=13.610000, predicted=13.740106
180 >expected=13.510000, predicted=13.702762
181 >expected=13.580000, predicted=13.779519
182 >expected=13.300000, predicted=13.395592
183 >expected=12.800000, predicted=13.125556
184 >expected=12.550000, predicted=12.630997
185 >expected=12.650000, predicted=12.295381
186 >expected=12.120000, predicted=12.165093
187 >expected=11.770000, predicted=11.883028
188 >expected=11.740000, predicted=11.724775
189 >expected=11.570000, predicted=11.601489
190 >expected=11.290000, predicted=11.424431
191 >expected=11.900000, predicted=11.678731
192 >expected=11.470000, predicted=11.710040
193 >expected=11.650000, predicted=11.456884
194 >expected=11.900000, predicted=11.853210
195 >expected=11.550000, predicted=11.586166
196 >expected=11.810000, predicted=11.700822
197 >expected=12.040000, predicted=12.111653
198 >expected=12.100000, predicted=12.155980
199 >expected=12.020000, predicted=11.877722
200 >expected=11.910000, predicted=11.721833
201 >expected=12.410000, predicted=12.192382
202 >expected=12.700000, predicted=12.607168
203 >expected=12.800000, predicted=12.887785
204 >expected=12.770000, predicted=12.889199
205 >expected=12.500000, predicted=12.648056
206 >expected=12.890000, predicted=12.648413
207 >expected=12.670000, predicted=12.653387
208 >expected=12.280000, predicted=12.577878
209 >expected=11.890000, predicted=12.105963
210 >expected=11.790000, predicted=11.842918
211 >expected=11.950000, predicted=11.895592
212 >expected=11.660000, predicted=11.828608
213 >expected=11.540000, predicted=11.396812
214 >expected=11.490000, predicted=11.469874
215 >expected=11.610000, predicted=11.691930
216 >expected=11.450000, predicted=11.418447
217 >expected=11.550000, predicted=11.472794
218 >expected=11.490000, predicted=11.530973
219 >expected=11.650000, predicted=11.529991
220 >expected=11.580000, predicted=11.726181
221 >expected=11.600000, predicted=11.650876
222 >expected=11.600000, predicted=11.723946
223 >expected=11.270000, predicted=11.503538
224 >expected=10.950000, predicted=11.035944
225 >expected=10.960000, predicted=10.744050
226 >expected=11.190000, predicted=11.079244
227 >expected=11.080000, predicted=11.050265
228 >expected=11.270000, predicted=11.071910
229 >expected=11.110000, predicted=11.024592
230 >expected=11.360000, predicted=11.279985
231 >expected=11.440000, predicted=11.443838
232 >expected=10.770000, predicted=10.880307
233 >expected=10.540000, predicted=10.624904
234 >expected=10.280000, predicted=10.622241
235 >expected=10.280000, predicted=10.233753
236 >expected=10.030000, predicted=10.234765
237 >expected=10.270000, predicted=10.367242
238 >expected=10.210000, predicted=10.430971
239 >expected=10.540000, predicted=10.310034
240 >expected=11.010000, predicted=10.669447
241 >expected=10.720000, predicted=10.805061
242 >expected=10.730000, predicted=10.644366
243 >expected=10.730000, predicted=10.785260
244 >expected=10.880000, predicted=10.807660
245 >expected=11.260000, predicted=11.083619
246 >expected=11.090000, predicted=11.318946
247 >expected=10.870000, predicted=10.991339
248 >expected=10.800000, predicted=10.785902
249 >expected=11.160000, predicted=10.809980
250 >expected=11.900000, predicted=11.724223
251 >expected=12.070000, predicted=11.974831
252 >expected=12.450000, predicted=12.102776
253 >expected=12.250000, predicted=12.409856
254 >expected=12.370000, predicted=12.491817
255 >expected=12.150000, predicted=12.053774
256 >expected=13.100000, predicted=12.633920
257 >expected=13.200000, predicted=13.053195
258 >expected=13.120000, predicted=13.131723
259 >expected=12.870000, predicted=12.900496
260 >expected=12.850000, predicted=12.819329
261 >expected=12.510000, predicted=12.552522
262 >expected=12.300000, predicted=12.389480
263 >expected=12.430000, predicted=12.361129
264 >expected=12.460000, predicted=12.528046
265 >expected=12.770000, predicted=12.679234
266 >expected=12.430000, predicted=12.554344
267 >expected=12.340000, predicted=12.480355
268 >expected=12.190000, predicted=12.169188
269 >expected=11.850000, predicted=12.110456
270 >expected=12.100000, predicted=11.855250
271 >expected=12.640000, predicted=12.738749
272 >expected=12.850000, predicted=12.814890
273 >expected=12.390000, predicted=12.413152
274 >expected=13.000000, predicted=12.755142
275 >expected=12.950000, predicted=13.114028
276 >expected=13.240000, predicted=13.145480
277 >expected=12.880000, predicted=13.036148
278 >expected=12.780000, predicted=12.792871
279 >expected=12.560000, predicted=12.774626
280 >expected=12.380000, predicted=12.489039
281 >expected=13.220000, predicted=12.590156
282 >expected=13.640000, predicted=13.642239
283 >expected=13.320000, predicted=13.407492
284 >expected=13.440000, predicted=13.302948
